mProjectPP 3 3008 0 1730 1730 3008
mProjectPP 10 3008 44 1745 1701 3008
mProjectPP 5 3008 54 1864 1810 3008
mProjectPP 1 3008 34 2022 1988 3008
mProjectPP 9 3008 37 2055 2018 3008
mProjectPP 7 3008 41 2095 2054 3008
mProjectPP 2 3008 57 2176 2119 3008
mProjectPP 6 3008 53 2209 2156 3008
mProjectPP 8 3008 31 2762 2731 3008
mProjectPP 4 3008 8 3221 3213 3008
mDiffFit 12 3008 2146 3421 1275 3008
mDiffFit 22 3008 2241 3479 1238 3008
mDiffFit 26 3008 2228 3582 1354 3008
mDiffFit 25 3008 2222 3628 1406 3008
mDiffFit 21 3008 2414 3748 1334 3008
mDiffFit 13 3008 2154 3848 1694 3008
mDiffFit 24 3008 2412 3864 1452 3008
mDiffFit 14 3008 2328 3903 1575 3008
mDiffFit 23 3008 2401 3967 1566 3008
mDiffFit 11 3008 2405 4058 1653 3008
mDiffFit 27 3008 2218 4323 2105 3008
mDiffFit 18 3008 3051 4470 1419 3008
mDiffFit 17 3008 2012 4529 2517 3008
mDiffFit 19 3008 3500 4873 1373 3008
mDiffFit 20 3008 3541 5535 1994 3008
mDiffFit 15 3008 3030 6047 3017 3008
mDiffFit 16 3008 3544 6486 2942 3008
mConcatFit 28 3008 6841 7303 462 3008
mBgModel 29 3008 7719 9763 2044 3008
mBackground 38 3008 10159 11176 1017 3008
mBackground 34 3008 10160 11443 1283 3008
mBackground 31 3008 10107 11444 1337 3008
mBackground 37 3008 10157 11476 1319 3008
mBackground 35 3008 10149 11512 1363 3008
mBackground 36 3008 10170 11517 1347 3008
mBackground 33 3008 10126 11996 1870 3008
mBackground 30 3008 10086 12221 2135 3008
mBackground 32 3008 10082 12866 2784 3008
mBackground 39 3008 10158 13232 3074 3008
mImgtbl 40 3008 13530 15240 1710 3008
mAdd 41 3008 15486 18065 2579 3008
mShrink 42 3008 18399 20006 1607 3008
mJPEG 43 3008 20139 21343 1204 3008
mProjectPP 10 3008 26 1809 1783 3008
mProjectPP 7 3008 55 1827 1772 3008
mProjectPP 2 3008 35 1867 1832 3008
mProjectPP 5 3008 48 1890 1842 3008
mProjectPP 9 3008 66 1900 1834 3008
mProjectPP 1 3008 79 2081 2002 3008
mProjectPP 3 3008 38 2265 2227 3008
mProjectPP 8 3008 71 2300 2229 3008
mProjectPP 4 3008 24 2326 2302 3008
mProjectPP 6 3008 0 2462 2462 3008
mDiffFit 27 3008 2170 3472 1302 3008
mDiffFit 26 3008 2187 3543 1356 3008
mDiffFit 25 3008 2185 3615 1430 3008
mDiffFit 13 3008 2211 3783 1572 3008
mDiffFit 11 3008 2237 3860 1623 3008
mDiffFit 22 3008 2168 3875 1707 3008
mDiffFit 16 3008 2468 3903 1435 3008
mDiffFit 24 3008 2679 3910 1231 3008
mDiffFit 17 3008 2481 3963 1482 3008
mDiffFit 18 3008 2490 3980 1490 3008
mDiffFit 23 3008 2654 4138 1484 3008
mDiffFit 14 3008 2423 4157 1734 3008
mDiffFit 20 3008 2487 4178 1691 3008
mDiffFit 19 3008 2516 4566 2050 3008
mDiffFit 15 3008 2432 4750 2318 3008
mDiffFit 12 3008 2413 5203 2790 3008
mDiffFit 21 3008 2614 5296 2682 3008
mConcatFit 28 3008 5512 5950 438 3008
mBgModel 29 3008 6212 8350 2138 3008
mBackground 36 3008 8544 9821 1277 3008
mBackground 37 3008 8523 9834 1311 3008
mBackground 35 3008 8514 9881 1367 3008
mBackground 38 3008 8539 9928 1389 3008
mBackground 31 3008 8509 10067 1558 3008
mBackground 39 3008 8522 10073 1551 3008
mBackground 32 3008 8556 10107 1551 3008
mBackground 34 3008 8500 10281 1781 3008
mBackground 30 3008 8505 10817 2312 3008
mBackground 33 3008 8516 11005 2489 3008
mImgtbl 40 3008 11126 16334 5208 3008
mAdd 41 3008 16523 22281 5758 3008
mShrink 42 3008 22455 25040 2585 3008
mJPEG 43 3008 25206 27212 2006 3008
mProjectPP 2 3008 0 1787 1787 3008
mProjectPP 1 3008 1 1889 1888 3008
mProjectPP 4 3008 88 1945 1857 3008
mProjectPP 3 3008 110 1955 1845 3008
mProjectPP 8 3008 78 1964 1886 3008
mProjectPP 10 3008 60 1985 1925 3008
mProjectPP 7 3008 93 2056 1963 3008
mProjectPP 5 3008 100 2080 1980 3008
mProjectPP 6 3008 405 2346 1941 3008
mProjectPP 9 3008 141 2752 2611 3008
mDiffFit 20 3008 2233 3434 1201 3008
mDiffFit 12 3008 2098 3501 1403 3008
mDiffFit 11 3008 2066 3589 1523 3008
mDiffFit 15 3008 2168 3610 1442 3008
mDiffFit 18 3008 2154 3612 1458 3008
mDiffFit 26 3008 2188 3612 1424 3008
mDiffFit 23 3008 2504 3721 1217 3008
mDiffFit 14 3008 2140 4068 1928 3008
mDiffFit 16 3008 2111 4102 1991 3008
mDiffFit 24 3008 2888 4617 1729 3008
mDiffFit 13 3008 3292 4757 1465 3008
mDiffFit 25 3008 4073 5541 1468 3008
mDiffFit 27 3008 4681 6009 1328 3008
mDiffFit 19 3008 3311 6011 2700 3008
mDiffFit 21 3008 3667 6103 2436 3008
